Frame Index,TAD
271,1644983
272,1536633
273,4711778
274,1459263
275,1523402
276,1673586
277,4749200
278,1183391
279,2477650
280,1477972
281,4571334
282,1579123
283,1615942
284,1549438
285,4584695
286,1542359
287,1549980
288,1504244
289,4599532
290,1475996
291,1548721
292,1596243
293,4522171
294,1251954
295,2030906
296,1518470
297,4168147
298,1431011
299,42266340
300,3367544
301,3401615
302,3538145
303,4137664
304,3707222
305,3740755
306,4060587
307,4815397
308,4149778
309,4241743
310,4295597
311,5001679
312,4314873
313,4308982
314,4182234
315,4779193
316,4216984
317,4240479
318,4206629
319,4784107
320,3938222
321,3874134
322,3758249
323,4045887
324,3373866
325,3222871
326,3045721
327,3157583
328,2565170
329,2628216
330,2478821
331,3019950
332,2680510
333,2660662
334,2656144
335,3028284
336,2588541
337,2621054
338,2635162
339,3065289
340,2330869
341,2447803
342,2353574
343,2810358
344,2253046
345,2281113
346,2265585
347,2737772
348,2152182
349,2248220
350,2266328
351,2464040
352,2267666
353,2347063
354,2257826
355,2571520
356,2121588
357,2215593
358,2176522
359,2760681
360,2274519
361,2335997
362,2249188
363,2751218
364,2117020
365,2218296
366,2302862
367,2712611
368,2085461
369,2289134
370,2285693
371,2771242
372,2262464
373,2307728
374,2596283
375,2848652
376,2422202
377,2515958
378,2616873
379,2991752
380,2565812
381,2608370
382,2504036
383,2952349
384,2574696
385,2599203
386,2621523
387,3034280
388,2639884
389,2779138
390,2720386
391,3324703
392,2730420
393,3021232
394,2935842
395,3334459
396,2868223
397,2982948
398,2938695
399,3343067
400,2714321
401,2731941
402,2639242
403,3218381
404,2602492
405,2735598
406,2674255
407,3134007
408,2466204
409,2631394
410,2623201
411,3083317
412,2615531
413,2812342
414,2858751
415,3235128
416,2855751
417,2957000
418,2875957
419,3237995
420,2530540
421,2645566
422,2599826
423,2986341
424,2438333
425,2580706
426,2466348
427,3078056
428,2145618
429,2209220
430,2146019
431,2627683
432,2162074
433,2204611
434,2242137
435,2612930
436,2222269
437,2289486
438,2247862
439,2649595
440,2205737
441,2307974
442,2200305
443,2721935
444,2297359
445,2385519
446,2380498
447,2833181
448,2287279
449,40155065
450,443367
451,222642
452,367387
453,284929
454,240626
455,201813
456,310287
457,196613
458,322536
459,246457
460,259711
461,423865
462,335728
463,257008
464,278597
465,408135
466,227935
467,289323
468,283935
469,413017
470,270345
471,280179
472,363294
473,446385
474,240724
475,297301
476,168847
477,431781
478,214864
479,295808
480,239568
481,388882
482,218765
483,286903
484,266008
485,424793
486,225901
487,261851
488,273234
489,399284
490,198165
491,293274
492,308778
493,411112
494,259785
495,291585
496,263186
497,410086
498,215991
499,281647
500,369821
501,440980
502,242540
503,282901
504,160081
505,390316
506,181408
507,246054
508,216032
509,523175
510,231430
511,267590
512,267647
513,433352
514,275357
515,288306
516,293422
517,406490
518,236664
519,392494
520,311317
521,424106
522,225134
523,279352
524,281539
525,462100
526,225798
527,298289
528,335361
529,514077
530,269027
531,307589
532,198155
533,407909
534,207307
535,280307
536,216311
537,521252
538,207372
539,349286
540,427349
541,394255
542,220851
543,326779
544,259168
545,416718
546,239149
547,327837
548,286416
549,406244
550,244187
551,299309
552,286580
553,453509
554,271325
555,288826
556,402408
557,461565
558,262973
559,276579
560,174817
561,453431
562,276814
563,259207
564,242186
565,423232
566,255504
567,317265
568,262786
569,539242
570,259079
571,275986
572,280659
573,457139
574,261024
575,307213
576,275848
577,485958
578,358141
579,288700
580,298677
581,442144
582,291657
583,367775
584,370753
585,480353
586,270876
587,290294
588,189155
589,406213
590,218324
591,287229
592,318785
593,401888
594,239705
595,302176
596,241378
597,510280
598,288564
599,435318
600,359022
601,353292
602,315823
603,322192
604,467390
605,239503
606,231164
607,333058
608,485696
609,228926
610,275422
611,310462
612,624682
613,229789
614,244673
615,348991
616,401499
617,223317
618,223068
619,309980
620,241798
621,45407307
622,9462693
623,9661236
624,9385695
625,9058807
626,9410386
627,9553975
628,9350672
629,8916728
630,9028511
631,9236159
632,9643322
633,8901988
634,9167550
635,9570179
636,9156335
637,8961993
638,9304320
639,9262412
640,9731881
641,8641589
642,9035094
643,9318072
644,9296199
645,8802590
646,8998217
647,9134853
648,9059379
649,8789982
650,8741095
651,8743580
652,8634729
653,8192178
654,8304672
655,8398534
656,8761781
657,7830987
658,8153618
659,8300896
660,8347225
661,7920166
662,7950746
663,8255087
664,8752714
665,7668080
666,7844061
667,7996484
668,8709421
669,7713960
670,8203316
671,8589210
672,8426134
673,8180229
674,8209821
675,8457243
676,8161845
677,7791326
678,7989151
679,8118784
680,8092733
681,7443300
682,7619892
683,7821254
684,7936363
685,7218243
686,7558569
687,7868639
688,7767261
689,7253534
690,7449472
691,7612620
692,7775130
693,7151062
694,7941009
695,7498114
696,8372739
697,8259865
698,8208115
699,8128285
700,8309218
701,8301028
702,7938944
703,7930860
704,8004477
705,7803496
706,7426910
707,7293269
708,7743786
709,7130555
710,6945875
711,7698985
712,7163791
713,7255612
714,7242404
715,7065949
716,7604380
717,7546012
718,7374619
719,7034736
720,7474577
721,7370303
722,7418775
723,7145734
724,8206474
725,8383765
726,7677544
727,7682800
728,7878031
729,7824872
730,7647502
731,7547348
732,7853936
733,7700213
734,7364980
735,7279729
736,7665255
737,7399633
738,7487176
739,7155597
740,7692646
741,7601418
742,7212456
743,7147591
744,7631292
745,7331034
746,7200075
747,44703926
748,2170613
749,1907717
750,1982610
751,1991001
752,2445969
753,2054528
754,2056299
755,2154642
756,2285916
757,2140101
758,2016863
759,2274673
760,2343996
761,2162341
762,2105226
763,2158873
764,2433338
765,2150254
766,2128039
767,2109172
768,2515246
769,2184353
770,2221425
771,2258639
772,2445076
773,2134857
774,2253111
775,2138913
776,2340295
777,2359505
778,2221545
779,2225579
780,2418229
781,2538776
782,2299744
783,2529512
784,2387836
785,2407432
786,2352223
787,2427789
788,2440193
789,2392010
790,2368935
791,2257747
792,2354084
793,2337638
794,2419163
795,2334597
796,2450255
797,2186235
798,2385963
799,2175037
800,2420983
801,2062930
802,2363012
803,2156792
804,2286134
805,2125012
806,1947333
807,2359115
808,1912059
809,2180773
810,1748108
811,1766464
812,1956408
813,1881502
814,1656871
815,2026039
816,1760109
817,1787604
818,1498764
819,1657550
820,1500439
821,1529378
822,1749451
823,1018488
824,1401152
825,1093270
826,1253880
827,1212810
828,1288855
829,1186001
830,1024334
831,1088461
832,1029861
833,966893
834,828207
835,740592
836,621154
837,1716909
838,746627
839,663054
840,630389
841,551071
842,594145
843,480281
844,674211
